"_id","_class","bizDomainIds","createTime","identityId","ip","owners","platformDomainId","principal","result","state","subjectId","updateTime","username","version"
"65fd3a4c2225bb3fc3d82daf","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711094348308","1220565158762385409","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220565157088858112","1711094348308","anziryeah","1"
"65fd3adb2225bb3fc3d82db0","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711094491796","1220565158762385409","46.232.121.35","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220565157088858112","1711094491796","anziryeah","1"
"65fd3bf62225bb3fc3d82db2","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711094774599","107","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","37","1711094774599","Valentina","1"
"65fd3f222225bb3fc3d82db5","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711095586642","121","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","41","1711095586642","EEEEEEEEEEEEE_asa","1"
"65fd49bb2225bb3fc3d82db9","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711098299027","1220628912346763264","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711098299027","happy","1"
"65fd49ed2225bb3fc3d82dba","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711098349668","1220628912338374656","219.144.137.117","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711098349668","happy","1"
"65fd4a112225bb3fc3d82dbb","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711098385653","1220628912346763264","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711098385653","happy","1"
"65fd543bea339519fbb08b80","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711100987723","1219480226594033664","141.2.233.250","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480226409484288","1711100987723","Nicole Zeiler","1"
"65fd5504ea339519fbb08b81","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711101188698","1219480226556284928","141.2.233.250","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480226409484288","1711101188698","Nicole Zeiler","1"
"65fd5573ea339519fbb08b82","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711101299109","1219480226594033664","141.2.233.250","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480226409484288","1711101299109","Nicole Zeiler","1"
"65fd5d57ea339519fbb08b85","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711103319176","1220680536461152256","219.144.137.117","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220680534993145856","1711103319176","ff","1"
"65fd9edfea339519fbb08b88","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711120095305","153","185.212.61.32","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","50","1711120095305","jiekechao","1"
"661c96bce45c004fa3cc9ff4","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713149628572","142","206.190.236.206","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","47","1713149628572","saf","1"
"661ca31fe45c004fa3cc9ff6","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713152799551","1226835147643424768","73.207.218.174","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1226835147588898816","1713152799551","Plum","1"
"661ca5b8e45c004fa3cc9ff8","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713153464155","1226835147735699456","73.207.218.174","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1226835147588898816","1713153464155","Plum","1"
"661ca607e45c004fa3cc9ff9","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713153543489","0","43.252.115.55","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1713153543489","anzirOperatorAdmin","1"
"661cb6ece45c004fa3cc9ffd","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713157868683","0","43.252.115.55","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1713157868683","anzirOperatorAdmin","1"
"661cc1d3e45c004fa3cca000","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713160659262","120","43.252.115.55","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","40","1713160659262","AnzirNari","1"
"661cc227e45c004fa3cca001","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713160743049","4","202.100.35.152","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","2","1713160743049","Kaia","1"
"661cc275e45c004fa3cca003","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713160821457","8","35.74.61.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","3","1713160821457","cat","1"
"65fd64bcea339519fbb08b86","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711105212668","1219480224249417728","31.94.14.134","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1219480224069062656","1711105212668","Alex Rimmer khan","1"
"65fe374bea339519fbb08b89","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711159115972","244","174.224.158.209","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","80","1711159115972","David Staggs","1"
"65fe4fbdea339519fbb08b8b","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711165373426","289","71.220.169.218","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","95","1711165373426","stupidsalad","1"
"65fed07dea339519fbb08b8d","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711198333429","112","104.133.229.106","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","38","1711198333429","google","1"
"65fedac2ea339519fbb08b8e","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711200962167","117","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","40","1711200962167","AnzirNari","1"
"65fedb0eea339519fbb08b90","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711201038690","324","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","107","1711201038690","Anzir_Test1","1"
"65feee9cea339519fbb08b99","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711206044227","1221111396989669376","93.38.28.95","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1221111396893200384","1711206044227","Francesco bera","1"
"65ff9a7dea339519fbb08b9c","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711250045143","344","120.18.127.183","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","114","1711250045143","Anzir_Test8","1"
"66000666ea339519fbb08b9e","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711277670497","0","113.200.137.122","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","0","1711277670497","anzirOperatorAdmin","1"
